OTU	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	baseSum	proportionMean	proportionSum	Kingdom	Phylum	Class	Order	Family	Genus
Otu6236	4.62252068440656	4.42548394743484	1.39679820310842	3.16830587094572	0.0015333011082163	0.0223637507322617	57548.3702877186	0.00803240936501906	100	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus
Otu3019	1.69763204572523	4.13953724724095	1.39015326608397	2.97775601312073	0.00290367030170493	0.0351046680917542	57548.3702877186	0.00294992201731822	100	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	JG30-KF-AS9	uncultured Ktedonobacterales bacterium
Otu1496	2.13047538662052	4.01922635405062	1.13902886982863	3.52864309282638	0.000417696056962207	0.00976002667753277	57548.3702877186	0.00370206032936989	100	Bacteria	Patescibacteria	Parcubacteria	Candidatus Yanofskybacteria	uncultured bacterium	uncultured bacterium
Otu3970	2.86167605705624	3.83664442679098	1.01407966170041	3.78337577578243	0.000154715559445918	0.00493417189584277	57548.3702877186	0.0049726448251254	100	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SM2D12	NA
Otu5390	1.84441536913193	3.75484441497846	1.23401353547242	3.04279029933085	0.00234395611190874	0.0297405184091647	57548.3702877186	0.00320498279953125	100	Bacteria	Patescibacteria	Parcubacteria	Candidatus Jorgensenbacteria	Candidatus Adlerbacteria bacterium GW2011_GWC1_50_9	Candidatus Adlerbacteria bacterium GW2011_GWC1_50_9
Otu5530	2.82890402251039	3.52247531817065	1.24716525569431	2.82438538284139	0.00473713878660723	0.0481384075843515	57548.3702877186	0.00491569788747624	100	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SM2D12	metagenome
Otu735	8.2666574840215	3.50668982124431	0.869156742998144	4.03458852444501	5.46980658344167e-05	0.00230513277445042	57548.3702877186	0.0143647117071979	100	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	Occallatibacter
Otu2347	1.47555093833391	3.43769325237129	1.23890530745678	2.77478289234887	0.00552385696259393	NA	57548.3702877186	0.00256401863503129	100	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA
Otu2121	3.33515018518246	3.38314392425647	1.60248192861891	2.11119006326156	NA	NA	57548.3702877186	0.00579538598314437	100	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	67-14	Ambiguous_taxa
Otu561	9.22824509136957	3.32344360190664	1.05850179618538	3.13976189165067	0.00169085204757846	0.0241843080744556	57548.3702877186	0.0160356323649689	100	Bacteria	Cyanobacteria	Melainabacteria	Obscuribacterales	uncultured bacterium	uncultured bacterium
Otu849	8.64215707761496	3.29887372474526	1.7209449855501	1.91689667737448	0.0552510592843469	0.232670388300727	57548.3702877186	0.0150172055862011	100	Bacteria	WPS-2	NA	NA	NA	NA
Otu391	16.6799916451878	3.25094217567033	0.890235505963578	3.65177770813753	0.000260431269761657	0.00723079760750013	57548.3702877186	0.0289842988807408	100	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus
Otu1458	3.43678476476469	3.23227158691484	1.13212029656581	2.85506018814401	0.00430286736093567	0.0451322976524808	57548.3702877186	0.00597199320776965	100	Bacteria	WPS-2	NA	NA	NA	NA
Otu7527	7.16852122785103	3.22189282959988	0.870351886019662	3.70182782544932	0.000214051858541239	0.00634614144032724	57548.3702877186	0.0124565147405762	100	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	uncultured	uncultured bacterium
Otu451	17.4620788834409	3.1876889756987	1.55760254489082	2.04653554666741	NA	NA	57548.3702877186	0.0303433073710647	100	Archaea	Euryarchaeota	Thermoplasmata	uncultured	NA	NA
Otu498	9.6373459870212	3.04309014933336	0.942668213245163	3.22816671504964	0.00124586342258443	0.0197331387738206	57548.3702877186	0.0167465141737956	100	Bacteria	Cyanobacteria	Melainabacteria	Obscuribacterales	uncultured bacterium	uncultured bacterium
Otu964	4.75165551940082	3.04032140293286	1.05661839955059	2.87740721174835	0.00400957809384181	0.0437418694622571	57548.3702877186	0.00825680292186288	100	Bacteria	Cyanobacteria	Melainabacteria	Obscuribacterales	NA	NA
Otu564	6.71415204419914	3.02465862201357	2.07977153633872	1.45432253935846	0.145856904348249	0.396847829175869	57548.3702877186	0.0116669716459929	100	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	uncultured
Otu3069	1.7328179959515	3.01073803085561	1.3884007446956	2.16849352923367	0.0301211564198153	0.162296641896722	57548.3702877186	0.00301106354061481	100	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
Otu6859	4.13369295720319	3.00145118617069	1.03694246184233	2.8945204740078	0.00379738144439665	0.0420742732806389	57548.3702877186	0.00718298873892761	100	Bacteria	Proteobacteria	Deltaproteobacteria	RCP2-54	NA	NA
Otu2769	2.82330783736553	2.98069650303356	1.16864102030695	2.55056638543345	0.0107548039705265	0.0816120172683036	57548.3702877186	0.0049059735718842	100	Bacteria	Patescibacteria	Parcubacteria	NA	NA	NA
Otu2627	1.15583313442642	2.96746316372345	1.3921825791474	2.13151867303266	0.0330464357657978	NA	57548.3702877186	0.00200845502426519	100	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	NA	NA
Otu4777	1.79229189619214	2.9654485866194	1.30734068777517	2.2683058932909	0.0233105689825126	0.138223474368668	57548.3702877186	0.00311440947368519	100	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	uncultured
Otu799	11.7186525461876	2.89477862026717	1.07931045193785	2.68206299222779	0.00731696806004833	0.0632464981641447	57548.3702877186	0.0203631353722078	100	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales	Simkaniaceae	NA
Otu4363	2.21714979721008	2.86677587470135	1.0673701504192	2.685831033944	0.0072349665846633	0.0632464981641447	57548.3702877186	0.00385267173705394	100	Bacteria	Planctomycetes	Phycisphaerae	Tepidisphaerales	CPla-3 termite group	NA
Otu2520	1.05536773327729	2.85125205239381	1.21444329305895	2.34778525163745	0.0188854061961527	NA	57548.3702877186	0.00183387944437154	100	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae	uncultured bacterium
Otu2228	3.9964940610985	2.84821271297326	1.34839970397181	2.11229111411374	0.0346614875486501	0.175162977761915	57548.3702877186	0.00694458251574744	100	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	uncultured
Otu2523	0.946615504765122	2.81066181083934	1.26263546984667	2.22602792172522	0.0260123112192328	NA	57548.3702877186	0.00164490410420387	100	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales	cvE6	metagenome
Otu516	9.04828711733753	2.76681312000735	2.2106590286303	1.25157841357454	0.210723524419854	0.484705182876077	57548.3702877186	0.0157229250317598	100	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	NA
Otu5208	6.64940191163429	2.74309433488213	1.01929478317576	2.69116881608637	0.00712021546180403	0.0632464981641447	57548.3702877186	0.0115544573693225	100	Bacteria	Acidobacteria	Acidobacteriia	Subgroup 2	NA	NA
Otu5864	1.22483865093921	2.73859544432273	1.26958205262759	2.15708424568133	0.0309991009006003	NA	57548.3702877186	0.00212836374829646	100	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	uncultured
Otu4620	1.70843766488221	2.71520888514946	1.28975540127461	2.105212261539	0.0352728353996621	0.175620024352748	57548.3702877186	0.00296869860317626	100	Bacteria	Patescibacteria	Parcubacteria	NA	NA	NA
Otu7095	0.966570908242138	2.70664679203758	1.3116576815732	2.06353138479793	0.0390621691120657	NA	57548.3702877186	0.00167957998360279	100	Bacteria	Planctomycetes	Phycisphaerae	Tepidisphaerales	WD2101 soil group	NA
Otu1719	6.18866813695974	2.65667326367577	0.988032713023717	2.68885152146981	0.00716983022126591	0.0632464981641447	57548.3702877186	0.0107538547243282	100	Bacteria	Dependentiae	Babeliae	Babeliales	uncultured bacterium	uncultured bacterium
Otu2653	2.64645244977422	2.6307980355859	1.03331861974107	2.54596983478834	0.0108974604850641	0.0824295087972797	57548.3702877186	0.00459865750592592	100	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Candidatus Ovatusbacter
Otu4197	1.25416898881634	2.60578938430704	1.14669221784629	2.27244010533289	0.0230599417115553	NA	57548.3702877186	0.00217933015747622	100	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales	Parachlamydiaceae	NA
Otu1410	1.54894281382101	2.59783027497007	1.20577505772761	2.15448997582179	0.0312017672501178	0.166597671290222	57548.3702877186	0.00269154939762312	100	Bacteria	NA	NA	NA	NA	NA
Otu1868	3.27898303837378	2.56905351121081	0.986824953381473	2.60335280579158	0.00923168994492021	0.0736040144257152	57548.3702877186	0.00569778609190876	100	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus
Otu1575	1.92604402728816	2.56853979420738	1.16301114352893	2.20852552316364	0.0272076606266255	0.151082539009026	57548.3702877186	0.00334682636130044	100	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured
Otu3572	1.69446638382275	2.55670001499629	1.02502020520199	2.49429230957693	0.0126208561742079	0.0899855606378566	57548.3702877186	0.00294442114581368	100	Bacteria	Acidobacteria	Acidobacteriia	Solibacterales	Solibacteraceae (Subgroup 3)	Candidatus Solibacter
Otu542	3.65004697917777	2.54391646386094	1.46601136543023	1.73526380753151	0.0826940891933348	0.296592781909225	57548.3702877186	0.00634257227603321	100	Bacteria	Cyanobacteria	Melainabacteria	Vampirovibrionales	Ambiguous_taxa	Ambiguous_taxa
Otu4672	2.39442035619542	2.50274829571217	1.37322457364054	1.8225338693708	0.0683740194760012	0.264963359545752	57548.3702877186	0.00416070923333587	100	Bacteria	Proteobacteria	Alphaproteobacteria	Micropepsales	Micropepsaceae	uncultured
Otu2993	1.11544055301404	2.40801802213564	1.43791153494246	1.6746635405717	0.0940002647197025	NA	57548.3702877186	0.00193826610108555	100	Bacteria	NA	NA	NA	NA	NA
Otu2698	1.55265225447519	2.40405916955359	1.2057232989017	1.99387303185022	0.0461659318051367	0.207132317604796	57548.3702877186	0.00269799517642733	100	Bacteria	Proteobacteria	NA	NA	NA	NA
Otu3698	1.11354821688614	2.36474933834243	1.20511244553856	1.96226447340823	0.0497317010896551	NA	57548.3702877186	0.00193497784788491	100	Bacteria	Proteobacteria	Gammaproteobacteria	Salinisphaerales	Solimonadaceae	NA
Otu2262	2.77751707162012	2.360547191197	1.04922863639587	2.24979295199714	0.0244620916349659	0.141844069431252	57548.3702877186	0.00482640439291966	100	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Candidatus Berkiella
Otu1724	1.12282205815526	2.33305060163415	1.35356906425662	1.72362878499699	0.0847748786438819	NA	57548.3702877186	0.00195109271129939	100	Bacteria	Planctomycetes	Phycisphaerae	Tepidisphaerales	WD2101 soil group	NA
Otu7357	1.50816011110525	2.32885994457699	1.37423047307584	1.694664752532	0.0901390357783911	NA	57548.3702877186	0.00262068257287748	100	Bacteria	Cyanobacteria	Melainabacteria	Obscuribacterales	NA	NA
Otu1267	6.34461832763526	2.30660608437507	0.724870563859943	3.18209374111203	0.00146214485625279	0.021702275853815	57548.3702877186	0.011024844484587	100	Bacteria	Verrucomicrobia	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	NA
Otu2119	6.36175919343319	2.29919765431136	0.765240544783924	3.00454238864273	0.00265980693354211	0.0330376019113651	57548.3702877186	0.0110546296300433	100	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	Aquicella
